person_id,id,name,character,role
35218,tm120801,Richard Marner,German Sentry at Chateau (uncredited),actor
1062,tm120801,Dick Miller,MP at Hanging (uncredited),actor
22266,tm120801,Lionel Murton,MP Lt. Col. in charge at hanging (uncredited),actor
35219,tm120801,Suzanne Owens-Duval,Prostitute (uncredited),actor
4500,tm120801,Mike Reid,Sergeant at War Games HQ (uncredited),actor
31806,tm120801,Terry Richards,Blake (uncredited),actor
35220,tm120801,Frederick Schiller,Drunken German General (uncredited),actor
35222,tm120801,Richard Shaw,German Officer Who Seals the Bunker (uncredited),actor
35223,tm120801,Warren Stanhope,German Officer (uncredited),actor
35224,tm120801,Hedger Wallace,German Officer (uncredited),actor
35225,tm120801,Theodore Wilhelm,German Officer (uncredited),actor
35226,tm120801,Rocky Taylor,Airborne Soldier (uncredited),actor
2105,tm120801,Burnell Tucker,Army Doctor (uncredited),actor
35227,tm120801,Vicki Woolf,Prostitute (uncredited),actor
744350,tm120801,Michael Segal,Airborne Band Conductor (uncredited),actor
1063,tm120801,Robert Aldrich,Unknown,director
11472,ts22164,Graham Chapman,Various,actor
11476,ts22164,Michael Palin,"Various / ""It's"" man",actor
11475,ts22164,Terry Jones,Various,actor
11474,ts22164,Eric Idle,Various,actor
11473,ts22164,Terry Gilliam,Various,actor
11472,tm70993,Graham Chapman,Wise Man #2 / Brian Cohen / Biggus Dickus,actor
1549,tm70993,John Cleese,Wise Man #1 / Reg / Jewish Official / First Centurion / Deadly Dirk / Arthur,actor
11473,tm70993,Terry Gilliam,Man Even Further Forward / Revolutionary / Jailer / Blood and Thunder Prophet / Frank / Audience Member / Crucifee,actor
11474,tm70993,Eric Idle,Mr. Cheeky / Stan 'Loretta' / Harry the Haggler / Culprit Woman / Warris / Intensely Dull Youth / Jailer's Assistant / Otto / Lead Singer Crucifee,actor
11475,tm70993,Terry Jones,Mandy Cohen / Colin / Simon the Holy Man / Bob Hoskins / Saintly Passer-by / Alarmed Crucifixion Assistant,actor
11476,tm70993,Michael Palin,Wise Man #3 / Mr. Big Nose / Francis / Mrs. A / Ex-Leper / Announcer / Ben / Pontius Pilate / Boring Prophet / Eddie / Shoe Follower / Nisus Wettus,actor
11477,tm70993,Terence Bayler,Gregory,actor
11478,tm70993,Carol Cleveland,Mrs. Gregory,actor
11479,tm70993,Kenneth Colley,Jesus,actor
11482,tm70993,Neil Innes,A Weedy Samaritan,actor
11480,tm70993,Charles McKeown,False Prophet / Blind Man / Giggling Guard / Stig,actor
11481,tm70993,John Young,"Matthias, Son of Deuteronomy of Gath",actor
11483,tm70993,Gwen Taylor,Mrs. Big Nose,actor
11484,tm70993,Sue Jones-Davies,Judith Iscariot,actor
548006,tm70993,Peter Brett,Unknown,actor
11485,tm70993,John Case,Pilate's Wife,actor
11489,tm70993,Chris Langham,Alfonso / Giggling Guard,actor
11487,tm70993,Andrew MacLachlan,Another Official Stoners Helper / Giggling Guard,actor
11486,tm70993,Bernard McKenna,Parvus / Official Stoners Helper / Giggling Guard,actor
73106,tm70993,Spike Milligan,Spike,actor
11488,tm70993,George Harrison,Mr. Papadopolous (uncredited),actor
11475,tm70993,Terry Jones,Unknown,director
6050,tm14873,Clint Eastwood,Harry,actor
74499,tm14873,Harry Guardino,Bressler,actor
24045,tm14873,Reni Santoni,Chico,actor
29250,tm14873,John Vernon,The Mayor,actor
29225,tm14873,Andrew Robinson,Killer,actor
63141,tm14873,John Larch,Chief,actor
28420,tm14873,John Mitchum,De Georgio,actor
83026,tm14873,Mae Mercer,Mrs. Russell,actor
83027,tm14873,Lyn Edgington,Norma,actor
83028,tm14873,Ruth Kobart,Bus Driver,actor
29253,tm14873,Woodrow Parfrey,Mr. Jaffe,actor
7250,tm14873,Josef Sommer,Rothko,actor
83029,tm14873,William Paterson,Bannerman,actor
44085,tm14873,James Nolan,Liquor Proprietor,actor
28418,tm14873,Maurice Argent,Sid Kleinman,actor
83030,tm14873,Jo De Winter,Miss Willis,actor
642080,tm14873,Craig Kelly,Sgt. Reineke,actor
24203,tm14873,Albert Popwell,Bank Robber (uncredited),actor
83031,tm14873,Joy Carlin,Communications Secretary (uncredited),actor
83032,tm14873,Bill Couch,Suicide Jumper (uncredited),actor
83033,tm14873,Diana Davidson,Swimmer (uncredited),actor
6848,tm14873,Vince Deadrick Sr.,Pedestrian (uncredited),actor
83034,tm14873,Chuck Dorsett,TV Watcher (uncredited),actor
83035,tm14873,Al Dunlap,Man in Jaffe's Cafe (uncredited),actor
83036,tm14873,Larry Duran,(uncredited),actor
63147,tm14873,George Fargo,Homicide Detective (uncredited),actor
83037,tm14873,Lois Foraker,Hot Mary (uncredited),actor
29725,tm14873,Max Gail,Tunnel Hoodlum (uncredited),actor
19846,tm14873,John Garber,Tunnel Hoodlum (uncredited),actor
37760,tm14873,Christopher Pray,Tunnel Hoodlum (uncredited),actor
83038,tm14873,Eddie Garrett,Policeman (uncredited),actor
58911,tm14873,James W. Gavin,Helicopter Pilot (uncredited),actor
28432,tm14873,David Gilliam,Homosexual (uncredited),actor
83039,tm14873,Don Haggerty,Minor Role (uncredited),actor
83040,tm14873,Scott Hale,Newsman (uncredited),actor
83041,tm14873,Kate Harper,Underwear Chick (uncredited),actor
83042,tm14873,Bob Harris,Man in Truck (uncredited),actor
15562,tm14873,Chuck Hicks,Flower Vendor (uncredited),actor
28171,tm14873,Raymond Johnson,Big Black Man (uncredited),actor
58618,tm14873,Richard Lawson,Homosexual (uncredited),actor
